stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.00000] opening C:\Project\EngineProjectG\bin\Debug\allegro5.cfg r
display  D   display_settings.c:212  debug_display_settings           [   0.03945] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.03945] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.03946] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.03947] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.03947] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.03948] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.03948] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.03949] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.03951] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.03952] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.03953] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.03953] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.03954] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.03954] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.03955] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.03956] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.03956] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.03957] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.03957] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.03958] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.03959] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.03959] Single Buffer requirement not met.
d3d      D         d3d_disp.cpp:1668 d3d_create_display_internals     [   0.03961] Trying format 0.
d3d      I         d3d_disp.cpp:1344 d3d_display_thread_proc          [   0.03981] Chose a display format: 23
d3d      I         d3d_disp.cpp:1413 d3d_display_thread_proc          [   0.03983] Normal window.
d3d      I         d3d_disp.cpp:781  d3d_create_device                [   0.06572] Using no depth stencil buffer
d3d      D         d3d_disp.cpp:839  d3d_create_device                [   0.10094] BeginScene succeeded in create_device
d3d      D         d3d_disp.cpp:847  d3d_create_device                [   0.10096] Success
d3d      D         d3d_disp.cpp:1691 d3d_create_display_internals     [   0.10102] Resumed after wait.
d3d      I         d3d_disp.cpp:1724 d3d_create_display_internals     [   0.10107] Format 0 succeeded.
d3d      D         d3d_disp.cpp:1755 d3d_create_display_internals     [   0.10110] Returning d3d_display: 00000000001A8430
d3d      D         d3d_disp.cpp:1780 d3d_create_display_locked        [   0.10111] al_display=00000000001A8430
d3d      D         d3d_disp.cpp:1781 d3d_create_display_locked        [   0.10112] al_display->vt=00000000001A82C0
system   D            wsystem.c:852  _al_win_safe_load_library        [   0.10184] PathFindOnPath found: C:\Windows\system32\d3dx9_43.dll
system   D            wsystem.c:763  load_library_at_path             [   0.10185] Calling LoadLibrary C:\Windows\system32\d3dx9_43.dll
system   I            wsystem.c:766  load_library_at_path             [   0.11763] Loaded C:\Windows\system32\d3dx9_43.dll
d3dx9    I        d3d_d3dx9.cpp:88   _imp_load_d3dx9_module_version   [   0.11769] Module "d3dx9_43.dll" loaded.
d3d      I         d3d_disp.cpp:901  d3d_destroy_display              [   6.11889] destroying display 00000000001A8430 (current 0000000000000000)
d3d      D         d3d_disp.cpp:885  d3d_destroy_display_internals    [   6.12291] waiting for display 00000000001A8430's thread to end
d3d      W         d3d_disp.cpp:595  d3d_destroy_device               [   6.15252] d3d_destroy_device: ref count not 0
d3d      I         d3d_disp.cpp:1548 d3d_display_thread_proc          [   6.16656] d3d display thread exits
